# t [s]	f [Hz]	P [dBm]
0.519000	2421979448.000000	-78.650000

0.533000	2421979448.000000	-79.330000

0.546000	2421979448.000000	-78.970000

0.560000	2421979448.000000	-79.180000

0.574000	2421979448.000000	-78.560000

0.586000	2421979448.000000	-79.930000

0.601000	2421979448.000000	-79.210000

0.615000	2421979448.000000	-78.280000

0.629000	2421979448.000000	-78.110000

0.643000	2421979448.000000	-79.720000

0.655000	2421979448.000000	-78.120000

0.670000	2421979448.000000	-78.270000

0.684000	2421979448.000000	-78.450000

0.696000	2421979448.000000	-78.710000

0.710000	2421979448.000000	-78.610000

0.724000	2421979448.000000	-78.460000

0.739000	2421979448.000000	-78.890000

0.753000	2421979448.000000	-78.340000

0.765000	2421979448.000000	-77.700000

0.779000	2421979448.000000	-78.720000

0.793000	2421979448.000000	-80.140000

0.806000	2421979448.000000	-77.990000

0.820000	2421979448.000000	-78.470000

0.834000	2421979448.000000	-77.120000

0.848000	2421979448.000000	-78.080000

0.863000	2421979448.000000	-78.500000

0.877000	2421979448.000000	-77.660000

0.891000	2421979448.000000	-78.820000

0.905000	2421979448.000000	-77.220000

0.919000	2421979448.000000	-76.940000

0.933000	2421979448.000000	-78.110000

0.961000	2421979448.000000	-77.790000

0.975000	2421979448.000000	-79.180000

0.989000	2421979448.000000	-79.280000

1.003000	2421979448.000000	-77.760000

1.016000	2421979448.000000	-79.040000

1.030000	2421979448.000000	-77.190000

1.044000	2421979448.000000	-78.380000

1.056000	2421979448.000000	-78.540000

1.070000	2421979448.000000	-78.090000

1.085000	2421979448.000000	-78.170000

1.109000	2421979448.000000	-79.390000

1.123000	2421979448.000000	-78.780000

1.136000	2421979448.000000	-78.940000

1.150000	2421979448.000000	-78.280000

1.164000	2421979448.000000	-80.100000

1.177000	2421979448.000000	-79.260000

1.191000	2421979448.000000	-77.150000

1.205000	2421979448.000000	-79.380000

1.219000	2421979448.000000	-78.550000

1.233000	2421979448.000000	-78.430000

1.246000	2421979448.000000	-77.770000

1.260000	2421979448.000000	-77.850000

1.274000	2421979448.000000	-79.580000

1.286000	2421979448.000000	-77.960000

1.301000	2421979448.000000	-77.720000

1.315000	2421979448.000000	-78.590000

1.329000	2421979448.000000	-77.170000

1.343000	2421979448.000000	-78.050000

1.355000	2421979448.000000	-77.560000

1.370000	2421979448.000000	-77.680000

1.384000	2421979448.000000	-78.190000

1.396000	2421979448.000000	-77.620000

1.410000	2421979448.000000	-77.390000

1.424000	2421979448.000000	-76.320000

1.438000	2421979448.000000	-76.670000

1.453000	2421979448.000000	-77.000000

1.465000	2421979448.000000	-77.020000

1.479000	2421979448.000000	-76.670000

1.493000	2421979448.000000	-77.350000

1.506000	2421979448.000000	-78.230000

1.520000	2421979448.000000	-77.110000

1.534000	2421979448.000000	-76.790000

1.548000	2421979448.000000	-75.610000

1.562000	2421979448.000000	-76.980000

1.576000	2421979448.000000	-75.920000

1.591000	2421979448.000000	-77.440000

1.605000	2421979448.000000	-76.630000

1.619000	2421979448.000000	-75.580000

1.633000	2421979448.000000	-77.970000

1.645000	2421979448.000000	-75.660000

1.660000	2421979448.000000	-76.450000

1.674000	2421979448.000000	-76.770000

1.701000	2421979448.000000	-75.720000

1.715000	2421979448.000000	-76.660000

1.729000	2421979448.000000	-77.110000

1.751000	2421979448.000000	-76.840000

1.764000	2421979448.000000	-77.720000

1.778000	2421979448.000000	-77.000000

1.792000	2421979448.000000	-76.110000

1.806000	2421979448.000000	-77.450000

1.820000	2421979448.000000	-76.890000

1.833000	2421979448.000000	-75.630000

1.846000	2421979448.000000	-77.500000

1.860000	2421979448.000000	-75.410000

1.873000	2421979448.000000	-75.910000

1.886000	2421979448.000000	-76.510000

1.900000	2421979448.000000	-77.350000

1.913000	2421979448.000000	-77.830000

1.926000	2421979448.000000	-77.070000

1.950000	2421979448.000000	-77.340000

1.964000	2421979448.000000	-78.700000

1.976000	2421979448.000000	-76.590000

1.990000	2421979448.000000	-77.980000

2.004000	2421979448.000000	-77.590000

2.016000	2421979448.000000	-77.910000

2.030000	2421979448.000000	-78.020000

2.044000	2421979448.000000	-77.800000

2.056000	2421979448.000000	-77.770000

2.070000	2421979448.000000	-76.420000

2.084000	2421979448.000000	-77.230000

2.096000	2421979448.000000	-77.480000

2.110000	2421979448.000000	-77.550000

2.124000	2421979448.000000	-77.610000

2.136000	2421979448.000000	-77.580000

2.150000	2421979448.000000	-77.410000

2.164000	2421979448.000000	-79.150000

2.176000	2421979448.000000	-78.620000

2.190000	2421979448.000000	-79.650000

2.204000	2421979448.000000	-79.230000

2.216000	2421979448.000000	-78.500000

2.230000	2421979448.000000	-79.030000

2.244000	2421979448.000000	-78.960000

2.256000	2421979448.000000	-77.800000

2.270000	2421979448.000000	-79.070000

2.283000	2421979448.000000	-79.700000

2.296000	2421979448.000000	-78.830000

2.310000	2421979448.000000	-78.370000

2.323000	2421979448.000000	-78.250000

2.336000	2421979448.000000	-79.920000

2.350000	2421979448.000000	-79.580000

2.363000	2421979448.000000	-79.870000

2.376000	2421979448.000000	-80.540000

2.390000	2421979448.000000	-79.320000

2.418000	2421979448.000000	-79.710000

2.432000	2421979448.000000	-79.560000

2.446000	2421979448.000000	-79.030000

2.460000	2421979448.000000	-78.750000

2.474000	2421979448.000000	-79.560000

2.486000	2421979448.000000	-79.380000

2.500000	2421979448.000000	-78.190000

2.514000	2421979448.000000	-79.120000

2.526000	2421979448.000000	-79.860000

2.540000	2421979448.000000	-78.350000

2.554000	2421979448.000000	-79.900000

2.566000	2421979448.000000	-79.140000

2.580000	2421979448.000000	-78.150000

2.594000	2421979448.000000	-78.650000

2.606000	2421979448.000000	-78.710000

2.620000	2421979448.000000	-78.120000

2.633000	2421979448.000000	-78.920000

2.646000	2421979448.000000	-79.270000

2.660000	2421979448.000000	-77.870000

2.673000	2421979448.000000	-79.010000

2.686000	2421979448.000000	-77.770000

2.700000	2421979448.000000	-78.230000

2.713000	2421979448.000000	-77.360000

2.726000	2421979448.000000	-77.900000

2.740000	2421979448.000000	-79.260000

2.753000	2421979448.000000	-77.530000

2.776000	2421979448.000000	-77.360000

2.790000	2421979448.000000	-76.810000

2.804000	2421979448.000000	-78.640000

2.816000	2421979448.000000	-77.490000

2.830000	2421979448.000000	-76.800000

2.844000	2421979448.000000	-77.800000

2.856000	2421979448.000000	-77.360000

2.870000	2421979448.000000	-77.140000

2.884000	2421979448.000000	-77.770000

2.896000	2421979448.000000	-77.470000

2.910000	2421979448.000000	-76.580000

2.930000	2421979448.000000	-77.310000

2.944000	2421979448.000000	-77.590000

2.956000	2421979448.000000	-76.890000

2.970000	2421979448.000000	-77.140000

2.983000	2421979448.000000	-76.590000

2.995000	2421979448.000000	-76.630000

3.009000	2421979448.000000	-77.040000

