# t [s]	f [Hz]	P [dBm]
0.456000	2419981308.000000	-85.410000

0.471000	2419981308.000000	-86.710000

0.485000	2419981308.000000	-85.120000

0.497000	2419981308.000000	-87.190000

0.511000	2419981308.000000	-87.080000

0.525000	2419981308.000000	-87.720000

0.538000	2419981308.000000	-87.640000

0.552000	2419981308.000000	-88.140000

0.566000	2419981308.000000	-88.020000

0.579000	2419981308.000000	-86.870000

0.593000	2419981308.000000	-86.690000

0.607000	2419981308.000000	-87.100000

0.621000	2419981308.000000	-87.230000

0.635000	2419981308.000000	-85.780000

0.647000	2419981308.000000	-86.080000

0.661000	2419981308.000000	-86.650000

0.675000	2419981308.000000	-86.300000

0.688000	2419981308.000000	-85.350000

0.702000	2419981308.000000	-86.110000

0.716000	2419981308.000000	-86.800000

0.729000	2419981308.000000	-85.470000

0.755000	2419981308.000000	-88.100000

0.768000	2419981308.000000	-86.480000

0.782000	2419981308.000000	-85.010000

0.796000	2419981308.000000	-87.240000

0.824000	2419981308.000000	-87.070000

0.838000	2419981308.000000	-86.820000

0.852000	2419981308.000000	-85.700000

0.866000	2419981308.000000	-86.710000

0.878000	2419981308.000000	-86.550000

0.892000	2419981308.000000	-85.980000

0.906000	2419981308.000000	-81.000000

0.919000	2419981308.000000	-86.420000

0.933000	2419981308.000000	-86.020000

0.947000	2419981308.000000	-86.570000

0.961000	2419981308.000000	-86.590000

0.975000	2419981308.000000	-86.080000

0.989000	2419981308.000000	-86.660000

1.003000	2419981308.000000	-87.490000

1.017000	2419981308.000000	-85.770000

1.031000	2419981308.000000	-85.070000

1.045000	2419981308.000000	-85.410000

1.058000	2419981308.000000	-86.280000

1.072000	2419981308.000000	-86.240000

1.086000	2419981308.000000	-86.600000

1.099000	2419981308.000000	-85.070000

1.113000	2419981308.000000	-87.700000

1.127000	2419981308.000000	-85.140000

1.139000	2419981308.000000	-86.600000

1.153000	2419981308.000000	-86.580000

1.167000	2419981308.000000	-87.250000

1.181000	2419981308.000000	-86.730000

1.195000	2419981308.000000	-86.410000

1.210000	2419981308.000000	-85.830000

1.224000	2419981308.000000	-86.040000

1.238000	2419981308.000000	-84.340000

1.252000	2419981308.000000	-87.410000

1.266000	2419981308.000000	-85.890000

1.278000	2419981308.000000	-85.650000

1.292000	2419981308.000000	-86.070000

1.306000	2419981308.000000	-86.390000

1.319000	2419981308.000000	-85.670000

1.333000	2419981308.000000	-85.450000

1.347000	2419981308.000000	-86.930000

1.360000	2419981308.000000	-85.720000

1.374000	2419981308.000000	-87.140000

1.388000	2419981308.000000	-87.900000

1.402000	2419981308.000000	-84.800000

1.416000	2419981308.000000	-86.450000

1.430000	2419981308.000000	-85.140000

1.444000	2419981308.000000	-85.890000

1.458000	2419981308.000000	-86.850000

1.472000	2419981308.000000	-85.550000

1.486000	2419981308.000000	-86.330000

1.500000	2419981308.000000	-84.630000

1.514000	2419981308.000000	-86.430000

1.528000	2419981308.000000	-85.970000

1.542000	2419981308.000000	-85.720000

1.571000	2419981308.000000	-85.730000

1.598000	2419981308.000000	-85.720000

1.612000	2419981308.000000	-87.010000

1.626000	2419981308.000000	-85.770000

1.640000	2419981308.000000	-88.540000

1.654000	2419981308.000000	-87.380000

1.668000	2419981308.000000	-87.440000

1.682000	2419981308.000000	-86.590000

1.703000	2419981308.000000	-85.810000

1.717000	2419981308.000000	-86.750000

1.729000	2419981308.000000	-86.610000

1.743000	2419981308.000000	-84.410000

1.757000	2419981308.000000	-84.950000

1.769000	2419981308.000000	-86.490000

1.783000	2419981308.000000	-86.470000

1.797000	2419981308.000000	-87.380000

1.809000	2419981308.000000	-86.170000

1.823000	2419981308.000000	-85.440000

1.837000	2419981308.000000	-87.340000

1.850000	2419981308.000000	-85.860000

1.864000	2419981308.000000	-85.980000

1.878000	2419981308.000000	-88.700000

1.890000	2419981308.000000	-87.650000

1.904000	2419981308.000000	-85.010000

1.918000	2419981308.000000	-86.430000

1.930000	2419981308.000000	-88.320000

1.944000	2419981308.000000	-85.910000

1.958000	2419981308.000000	-87.590000

1.970000	2419981308.000000	-85.900000

1.984000	2419981308.000000	-84.260000

1.997000	2419981308.000000	-87.510000

2.010000	2419981308.000000	-84.790000

